"","trajectory","frame","x","y","z"
"648",172,1137,71.61,85.08,1
"649",172,1138,71.93,85.34,1
"650",173,1139,47.94,14.11,1
"651",173,1140,47.87,12.87,1
"652",173,1141,48.35,13.23,1
"653",174,1168,47.98,13.96,1
"654",174,1169,47.96,13.73,1
"655",174,1170,48.3,13.9,1
"656",175,1176,76.72,79.81,1
"657",175,1177,75.15,80.76,1
"658",176,1214,55.84,33.25,1
"659",176,1215,55.24,33.13,1
"660",177,1252,82.08,81.77,1
"661",177,1253,84.69,85.02,1
"662",178,1264,73.07,81.88,1
"663",178,1265,75.37,83.12,1
"664",178,1266,74.9,82.88,1
"665",179,1270,94.84,51.15,1
"666",179,1271,95.08,50.88,1
"667",180,1274,91.81,48.73,1
"668",180,1275,92.34,48.18,1
"669",180,1276,93.27,47.96,1
"670",180,1277,92.91,47.7,1
"671",181,1279,92.96,48.2,1
"672",181,1280,93.17,48.97,1
"673",181,1281,91.97,50.23,1
"674",182,1288,92.07,52.11,1
"675",182,1289,91.35,51.81,1
"676",182,1290,91.28,51.02,1
"677",182,1291,91.69,50.99,1
"678",183,1293,91.69,51.8,1
"679",183,1294,91.82,50.25,1
"680",183,1295,91.98,51.87,1
"681",183,1296,92.09,51.66,1
"682",183,1297,92.23,51.24,1
"683",183,1298,91.9,51.7,1
"684",183,1299,92.06,51,1
"685",183,1300,93.16,50.97,1
"686",183,1301,93.74,51.22,1
"687",183,1302,93.22,50.83,1
"688",183,1303,93.81,50.14,1
"689",183,1304,93.8,52.82,1
"690",183,1305,93.22,51.78,1
"691",184,1295,56.83,30.32,1
"692",184,1296,59.12,29.4,1
"693",185,1307,93.68,51.19,1
"694",185,1308,94.09,52.27,1
"695",185,1309,94.31,51.11,1
"696",186,1313,94.88,52.61,1
"697",186,1314,95.13,51.98,1
"698",186,1315,95.12,52.1,1
"699",186,1316,95.3,52.02,1
"700",186,1317,95.71,52.12,1
"701",186,1318,95.1,52.66,1
"702",187,1321,92.33,47.07,1
"703",187,1322,92.73,42.13,1
"704",187,1323,92.22,46.3,1
"705",188,1323,92.18,60.87,1
"706",188,1324,92.85,60.69,1
"707",188,1325,93.86,60.26,1
"708",189,1324,94.28,52.17,1
"709",189,1325,94.22,51.76,1
"710",189,1326,94.09,52.62,1
"711",189,1327,93.92,52.67,1
"712",189,1328,93.92,52.74,1
"713",190,1329,92.08,47.3,1
"714",190,1330,92.14,47.81,1
"715",190,1331,92.81,47.42,1
"716",190,1332,91.74,46.93,1
"717",191,1346,92,53,1
"718",191,1347,92.12,52.7,1
"719",192,1355,93,54.36,1
"720",192,1356,92.91,51.93,1
"721",193,1358,92.85,51.21,1
"722",193,1359,90.74,52.92,1
"723",193,1360,90.89,52.64,1
"724",193,1361,89.77,53.21,1
"725",194,1360,86.18,48.25,1
"726",194,1361,86.24,46.94,1
"727",194,1362,84.12,45.72,1
"728",194,1363,83.26,47.82,1
"729",195,1363,88.11,53.4,1
"730",195,1364,87.21,51.87,1
"731",196,1366,89.11,53.64,1
"732",196,1367,92.13,52.01,1
"733",196,1368,90.74,51.84,1
"734",196,1369,90.01,50.72,1
"735",197,1371,109.74,40.92,1
"736",197,1372,108.36,41,1
"737",197,1373,108.89,40.69,1
"738",197,1374,108.95,40.69,1
"739",197,1375,107.2,40.27,1
"740",198,1372,90.31,47.1,1
"741",198,1373,89.18,49.8,1
"742",198,1374,89.01,49.23,1
"743",198,1375,88.8,49.08,1
"744",199,1377,109.7,40.27,1
"745",199,1378,108.02,40.74,1
"746",199,1379,108.8,41.07,1
"747",200,1378,89.15,42.08,1
"748",200,1379,87.84,42.69,1
"749",200,1380,88.82,43.92,1
"750",201,1381,108.84,41.1,1
"751",201,1382,108.1,40.69,1
"752",201,1383,108.59,41.03,1
"753",201,1384,108.92,41.2,1
"754",201,1385,108.98,41.28,1
"755",201,1386,109.13,41.12,1
"756",201,1387,109.23,40.95,1
"757",201,1388,109.11,40.78,1
"758",202,1382,87.29,46.22,1
"759",202,1383,89.82,44.97,1
"760",203,1382,88.09,52.72,1
"761",203,1383,88.13,52.6,1
"762",204,1386,90.17,42.26,1
"763",204,1387,90.11,41.14,1
"764",205,1387,87.79,52.74,1
"765",205,1388,88.22,51.81,1
"766",206,1390,88.3,50.96,1
"767",206,1391,89.13,50.18,1
"768",207,1390,91.78,45.21,1
"769",207,1391,91.12,44.24,1
"770",207,1392,89.92,44.28,1
"771",207,1393,89.17,44.81,1
"772",207,1394,89.34,44.94,1
"773",207,1395,88.25,46.01,1
"774",207,1396,89.73,47.11,1
"775",207,1397,88.18,45.93,1
"776",208,1391,108.88,40.74,1
"777",208,1392,108.14,40.37,1
"778",208,1393,108.03,40.24,1
"779",208,1394,108.58,40.94,1
"780",208,1395,109.05,40.98,1
"781",208,1396,107.89,40.11,1
"782",208,1397,107.77,40.64,1
"783",209,1399,88.14,44.89,1
"784",209,1400,89.08,46.35,1
"785",209,1401,88.62,45.84,1
"786",209,1402,88.28,45.14,1
"787",209,1403,88.26,45.82,1
"788",209,1404,89.02,44.78,1
"789",209,1405,88.9,44.18,1
"790",209,1406,88.24,41.75,1
"791",209,1407,88.77,44.26,1
"792",209,1408,88,44.66,1
"793",209,1409,87.82,43.85,1
"794",209,1410,87.42,44.19,1
"795",209,1411,87.1,44.37,1
"796",209,1412,87.24,43.02,1
"797",209,1413,87.12,43.92,1
"798",210,1399,109.31,40.94,1
"799",210,1400,109.22,40.83,1
"800",211,1402,108.86,40.21,1
"801",211,1403,108.3,40.77,1
"802",211,1404,109.06,40.24,1
"803",211,1405,109.02,40.73,1
"804",211,1406,109.26,40.89,1
"805",211,1407,109.07,40.01,1
"806",211,1408,108.87,40.73,1
"807",211,1409,108.8,40.78,1
"808",211,1410,109.11,40.69,1
"809",211,1411,108.83,41.15,1
